,dialog_id,speaker,Max Pitch,Mean Pitch,Sd Pitch,Max Intensity,Mean Intensity,Sd Intensity,Speaking Rate,Jitter,Shimmer,HNR
0,sw4733,A,599.544,54.334,98.937,83.971,47.317,12.662,12.621847050547684,0.01,0.074,15.31
1,sw3223,A,574.822,34.635,75.276,77.292,45.733,15.2,10.702577832377468,0.015,0.105,9.34
2,sw3691,B,596.874,70.514,106.463,78.148,53.44,11.827,10.66551472410306,0.013,0.088,8.26
3,sw4038,B,597.437,26.359,53.78,84.82,18.373,82.753,8.827982737575123,0.014,0.102,9.71
4,sw2104,B,598.148,29.476,70.964,77.184,28.843,23.712,7.9608033907324645,0.017,0.08,11.9
5,sw3902,B,584.52,47.864,93.752,80.614,45.513,14.279,7.164129161786849,0.012,0.078,13.72
6,sw2122,A,599.445,52.33,66.062,82.083,52.297,30.313,14.4523594772822,0.019,0.103,10.39
7,sw3104,B,599.863,32.231,77.816,77.349,37.062,13.036,8.5915997723315,0.014,0.095,12.32
8,sw4339,B,199.252,14.97,36.409,77.33,-114.894,173.343,7.8333880576012005,0.014,0.078,16.05
9,sw2839,A,595.994,55.893,96.841,80.911,46.902,14.78,9.576282654835676,0.016,0.07,13.85
10,sw2019,B,599.238,30.063,71.992,88.095,49.342,14.608,7.87813051802543,0.022,0.127,9.18
11,sw4905,A,590.693,13.673,53.751,85.621,36.467,10.982,4.431240412376659,0.014,0.086,12.82
12,sw4103,A,162.842,9.653,32.837,71.115,-120.98,169.401,8.413662264440838,0.013,0.088,14.21
13,sw4940,A,500.928,18.986,64.13,79.991,37.473,11.894,7.155575413629604,0.013,0.081,14.25
14,sw3435,B,588.44,25.679,51.265,78.861,5.422,101.836,8.728320999352716,0.016,0.09,11.08
15,sw2303,A,598.86,40.3,84.151,83.158,34.949,20.032,6.64790498693352,0.018,0.08,11.84
16,sw3797,A,588.487,16.815,43.574,81.291,42.982,13.662,5.0780490095456585,0.016,0.092,11.76
17,sw3047,A,598.535,25.707,51.615,77.345,42.739,13.614,10.068756555180048,0.022,0.093,10.08
18,sw2024,B,599.555,26.259,69.288,83.298,44.719,15.957,10.11218162834083,0.03,0.117,8.2
19,sw2061,B,594.963,15.62,47.486,79.227,34.141,15.763,7.399898462237304,0.022,0.112,11.21
20,sw3709,B,589.43,30.604,55.429,81.664,46.315,16.59,8.306779694983867,0.013,0.073,11.32
21,sw4341,B,551.399,42.304,88.748,84.851,-28.279,134.798,4.800218828599831,0.011,0.064,12.77
22,sw4728,B,598.208,45.746,76.647,83.365,25.29,83.102,10.49904736437477,0.019,0.111,13.06
23,sw2533,A,583.912,89.156,110.768,83.697,52.278,15.359,13.522944488638547,0.013,0.068,18.51
24,sw3181,B,596.267,49.974,96.549,82.974,47.251,10.939,8.912769069452143,0.011,0.068,14.88
25,sw3515,B,540.915,28.289,59.42,84.034,44.591,11.846,7.881954912404114,0.015,0.089,12.51
26,sw2181,B,596.999,21.623,56.132,83.405,-10.475,121.084,5.482311244837039,0.022,0.099,10.95
27,sw2768,B,596.978,38.771,80.85,86.86,42.937,21.183,10.049379642681734,0.011,0.076,14.13
28,sw3000,B,599.782,29.587,74.848,84.897,37.745,20.332,8.03795751667659,0.026,0.126,11.64
29,sw2362,A,597.624,20.677,48.438,85.044,42.992,13.066,8.980692262390368,0.018,0.11,11.26
